symbol,name,sector,leverage,dividend_yield,expense_ratio,inception_date,ret_1d,ret_1w,ret_1m,ret_3m,ret_6m,ret_ytd,ret_1y,ret_3y,ret_5y,ann_ret_1y,ann_ret_3y,ann_ret_5y,ann_vol_1y,last_date,last_price,rsi_14,sma_20,sma_60,zone,change_pct,vol_ratio,macd_hist
CURE,Direxion Daily Healthcare Bull 3X,healthcare,3,1.3,,1308096000,-1.37,1.68,-6.42,-19.48,-3.6,-6.36,-2.99,-8.48,-5.25,6.04,-3.29,-0.77,48.68,2026-05-01,87.83000183105469,39.6683,90.925,99.7259,NEUTRAL_LOW,-1.37,0.7682,-0.0439
DRN,Direxion Daily Real Estate Bull 3X,real_estate,3,2.57,,1247702400,-0.64,3.15,24.8,19.79,25.77,24.06,16.04,33.27,-34.57,15.44,7.45,-8.14,62.19,2026-05-01,10.819999694824219,60.6218,10.279,9.8258,NEUTRAL_HIGH,-0.6428,0.6019,0.0239
EDC,Direxion Daily Emerging Markets Bull 3X,emerging,3,1.65,,1229472000,1.04,1.69,37.53,16.98,37.46,45.0,172.01,202.87,-16.81,172.84,42.66,-3.61,67.45,2026-05-01,78.63999938964844,63.8548,71.7805,67.5136,NEUTRAL_HIGH,1.0407,0.4591,0.3876
EDZ,Direxion Daily Emerging Markets Bear 3X,emerging,-3,5.29,,1229472000,-1.23,-2.1,-30.85,-28.08,-41.1,-43.87,-72.17,-83.26,-71.59,-72.28,-44.14,-22.25,67.88,2026-05-01,20.020000457763672,34.2991,22.5315,25.897,NEUTRAL_LOW,-1.2333,0.4572,-0.0454
FAZ,Direxion Daily Financial Bear 3X,financial,-3,2.56,,1225929600,1.09,-2.72,-13.62,6.52,-1.22,1.25,-18.24,-77.49,-83.5,-18.39,-38.19,-29.86,74.85,2026-05-01,43.68000030517578,46.8111,44.341,46.6397,NEUTRAL,1.0877,1.0642,0.0744
NAIL,Direxion Daily Home Builders Bull 3X,homebuilders,3,1.03,,1439942400,-4.78,-13.69,10.15,-26.03,-28.72,-23.01,-20.02,-10.96,-54.28,-19.23,-6.2,-14.8,88.66,2026-05-01,42.22999954223633,47.5958,44.6025,51.1755,NEUTRAL,-4.7802,0.8521,-0.0522
QID,ProShares UltraShort QQQ,nasdaq100,-2,4.6,,1152576000,-1.95,-2.92,-24.84,-15.51,-11.27,-14.74,-49.31,-78.99,-82.54,-48.01,-39.44,-29.59,43.88,2026-05-01,16.610000610351562,16.5272,18.6275,20.3732,OVERSOLD,-1.9481,0.9584,-0.1395
QLD,ProShares Ultra QQQ,nasdaq100,2,0.19,,1150675200,1.91,2.94,32.18,15.21,8.19,12.79,86.86,258.08,149.37,82.39,50.31,20.27,43.89,2026-05-01,82.5999984741211,82.3149,74.363,68.7225,OVERBOUGHT,1.9124,0.8464,0.6478
SDS,ProShares UltraShort S&P 500,sp500,-2,4.35,,1152576000,-0.55,-1.71,-16.97,-7.54,-7.63,-10.39,-38.14,-64.63,-69.39,-37.27,-28.34,-21.12,38.42,2026-05-01,61.529998779296875,21.2348,65.4865,68.9893,OVERSOLD,-0.5495,0.9487,-0.2483
SOXL,Direxion Daily Semiconductor Bull 3X,semiconductor,3,0.16,,1268265600,2.69,1.62,149.52,111.04,164.07,178.45,976.07,895.23,218.42,981.41,114.2,26.59,89.02,2026-05-01,130.39999389648438,78.5256,95.5585,70.1652,OVERBOUGHT,2.6933,0.5607,2.8183
SOXS,Direxion Daily Semiconductor Bear 3X,semiconductor,-3,8.44,,1268265600,-2.41,-3.99,-64.2,-66.81,-79.49,-79.98,-96.43,-99.66,-99.91,-96.44,-84.92,-75.56,90.07,2026-05-01,12.979999542236328,15.243,20.027,31.8753,OVERSOLD,-2.406,1.0086,-0.1604
SOXX,iShares Semiconductor SOXX,semiconductor,1,0.51,,994723200,0.93,0.9,37.58,34.58,50.75,52.79,154.96,253.89,229.71,155.31,52.18,27.14,33.09,2026-05-01,465.75,80.6329,414.4755,366.7694,OVERBOUGHT,0.934,0.6631,3.5541
SPXL,Direxion Daily S&P 500 Bull 3X,sp500,3,0.8,,1225843200,0.86,2.62,31.37,9.25,8.42,13.53,95.56,265.56,160.56,91.5,51.15,21.14,55.03,2026-05-01,248.47999572753906,77.9763,227.764,213.6952,OVERBOUGHT,0.8564,0.8144,1.5384
SPXS,Direxion Daily S&P 500 Bear 3X,sp500,-3,3.19,,1225843200,-0.83,-2.58,-24.63,-12.05,-12.84,-16.63,-53.19,-81.77,-87.16,-52.1,-42.17,-33.68,54.72,2026-05-01,29.799999237060547,20.9738,32.8035,35.6351,OVERSOLD,-0.8319,0.8286,-0.1787
SQQQ,ProShares UltraPro Short QQQ,nasdaq100,-3,5.78,,1265673600,-2.77,-4.34,-35.16,-23.59,-18.83,-23.33,-65.71,-92.32,-95.28,-64.51,-56.29,-45.84,61.12,2026-05-01,50.220001220703125,16.3525,59.869,68.9651,OVERSOLD,-2.7686,1.033,-0.6334
TECL,Direxion Daily Technology Bull 3X,tech,3,9.64,,1229472000,4.38,2.63,68.98,32.4,6.33,16.8,194.95,392.62,219.59,182.9,66.78,26.36,66.05,2026-05-01,152.66000366210938,79.75,127.6415,108.92,OVERBOUGHT,4.3758,0.9728,1.8057
TNA,Direxion Daily Small Cap Bull 3X,small_cap,3,0.62,,1225843200,1.37,2.53,38.06,18.09,31.87,36.0,145.7,127.8,-33.98,141.34,29.95,-8.09,70.41,2026-05-01,62.099998474121094,71.1243,56.5705,51.7071,OVERBOUGHT,1.3712,0.9354,0.2105
TQQQ,ProShares UltraPro QQQ,nasdaq100,3,0.75,,1265673600,2.77,4.38,51.05,21.13,8.63,15.7,139.64,427.87,145.88,131.66,69.67,20.03,60.96,2026-05-01,65.30000305175781,82.1053,56.0335,50.1458,OVERBOUGHT,2.7699,0.8189,0.7553
TZA,Direxion Daily Small Cap Bear 3X,small_cap,-3,3.05,,1225843200,-1.21,-2.78,-28.88,-22.93,-35.0,-36.57,-69.55,-84.49,-81.88,-68.96,-45.56,-28.86,70.94,2026-05-01,4.900000095367432,26.5537,5.4605,6.2124,OVERSOLD,-1.2097,0.7649,-0.0075
UPRO,ProShares UltraPro S&P 500,sp500,3,1.04,,1245715200,0.87,2.61,31.39,9.18,8.32,13.43,95.0,264.26,156.6,90.9,51.01,20.77,51.3,2026-05-01,130.3000030517578,78.0849,119.451,112.0999,OVERBOUGHT,0.867,0.9857,0.8043
YANG,Direxion Daily China Bear 3X,china,-3,3.5,,1259798400,-0.37,0.63,-9.49,22.91,29.36,18.43,-33.25,-86.33,-88.6,-33.46,-47.65,-35.06,78.57,2026-05-01,27.079999923706055,45.4976,27.472,27.2651,NEUTRAL,-0.3679,0.4966,0.03
YINN,Direxion Daily China Bull 3X,china,3,1.3,,1259798400,0.06,-0.83,9.05,-24.31,-33.0,-26.45,9.36,-3.9,-90.28,9.94,-2.76,-37.4,78.13,2026-05-01,34.84000015258789,52.9144,34.617,36.1254,NEUTRAL,0.0574,0.5846,0.0067
