ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,exit_reason,name
2454.TW,2024-03-27,2024-04-08,1074.055419921875,1060.2264404296875,-1.2875480385540439,HOLD,聯發科
2454.TW,2025-08-13,2025-08-25,1343.947509765625,1383.1868896484375,2.9197107474573594,HOLD,聯發科
2454.TW,2026-03-16,2026-03-26,1710.0,1590.0,-7.017543859649122,HOLD,聯發科
2317.TW,2024-04-23,2024-04-29,135.4796600341797,149.1217041015625,10.069440729288152,TP,鴻海
2317.TW,2024-07-31,2024-08-05,191.06105041503906,162.11241149902344,-15.151512489401126,SL,鴻海
2379.TW,2023-08-17,2023-08-28,353.64141845703125,370.5641174316406,4.7852706417830255,HOLD,瑞昱
2379.TW,2025-01-17,2025-02-03,512.594482421875,504.01947021484375,-1.6728647110122132,HOLD,瑞昱
2376.TW,2022-10-05,2022-10-11,83.49602508544922,76.39978790283203,-8.498892223138707,SL,技嘉
2376.TW,2024-03-06,2024-03-13,341.1989440917969,308.7261962890625,-9.517247449041882,SL,技嘉
2376.TW,2024-03-27,2024-04-08,291.7839050292969,320.02105712890625,9.67741935483871,HOLD,技嘉
2376.TW,2024-11-25,2024-12-05,272.9822998046875,271.535400390625,-0.5300341506016042,HOLD,技嘉
2376.TW,2025-10-27,2025-11-06,285.0,278.5,-2.280701754385965,HOLD,技嘉
2382.TW,2023-09-04,2023-09-12,227.37088012695312,207.03689575195312,-8.943090849473103,SL,廣達
2382.TW,2024-04-24,2024-05-06,248.6383514404297,250.07005310058594,0.5758169051001233,HOLD,廣達
2382.TW,2024-11-25,2024-12-05,285.3852844238281,280.61297607421875,-1.6722335067991727,HOLD,廣達
3665.TW,2022-05-23,2022-06-02,279.94940185546875,266.2393798828125,-4.897321402291979,HOLD,穎崴
3665.TW,2022-09-16,2022-09-26,290.04510498046875,260.8581848144531,-10.062890103930917,SL,穎崴
3665.TW,2023-03-22,2023-04-06,251.7372589111328,247.17678833007812,-1.8115993638687409,HOLD,穎崴
3665.TW,2024-09-12,2024-09-23,411.8652038574219,441.2142639160156,7.125889680341559,HOLD,穎崴
3665.TW,2025-01-02,2025-01-13,591.872802734375,580.1331787109375,-1.9834707675706622,HOLD,穎崴
3665.TW,2025-10-07,2025-10-15,1030.0,1185.0,15.048543689320388,TP,穎崴
3034.TW,2023-05-03,2023-05-15,349.8315734863281,328.5053405761719,-6.096142980356148,HOLD,緯穎
3034.TW,2023-07-07,2023-07-17,357.21368408203125,364.32952880859375,1.9920414708772476,HOLD,緯穎
3034.TW,2024-05-21,2024-05-31,543.80224609375,532.136474609375,-2.1452231152358747,HOLD,緯穎
